ROUTE_ID,STOP_ID,ROUTE_NAME,STOP_NAME,OBJECTID,x,y
3771,14007264,Orbiter,"50 Avalon Dr, Hamilton",1283,1797818.8851,5816627.3643
4606,14007283,Fairfield,"1A Ranfurly Ave, Hamilton",1284,1800350.5069,5817269.223
4620,14007289,Te Rapa,"21 Norris Ave, Hamilton",1285,1798201.4395,5818798.3065
4641,14007297,Flagstaff North,"Borman Rd, Hamilton (opp Radius Glaisdale)",1286,1797611.3654,5822853.5052
9032,14007297,Rototuna Circular,"Borman Rd, Hamilton (opp Radius Glaisdale)",1287,1797611.3654,5822853.5052
4620,14007298,Te Rapa,"123 Māeroa Rd, Hamilton",1288,1798974.3033,5816737.2039
15643,14007360,Bremworth / Templeview,"76 Higgins Rd, Hamilton",1289,1798575.2906,5813807.093
4606,14007375,Fairfield,"296 Clarkin Rd, Hamilton",1290,1801463.0609,5818023.8866
4616,14007384,Rototuna,"83 Huntington Dr, Hamilton",1291,1801351.9571,5820233.9985
4648,14007384,Chartwell,"83 Huntington Dr, Hamilton",1292,1801351.9571,5820233.9985
4610,14007392,University,"45 Old Farm Rd, Hamilton",1293,1802793.5837,5815210.7403
4622,14007470,Pukete,"58 Vercoe Rd, Hamilton",1294,1799214.6248,5817935.1171
3720,14007483,Tamahere/Matangi,"185 Cambridge Rd, Hamilton",1295,1804080.8934,5813826.5694
4604,14007483,Hillcrest,"185 Cambridge Rd, Hamilton",1296,1804080.8934,5813826.5694
4618,14007483,Hamilton Gardens Uni,"185 Cambridge Rd, Hamilton",1297,1804080.8934,5813826.5694
19537,14007485,Meteor,"Opp 35 Baverstock Rd, Hamilton",1298,1796388.9011,5817208.4321
4656,14007494,Nawton,"23 Odlin Cr, Hamilton",1299,1796802.9762,5817293.7009
15643,14007497,Bremworth / Templeview,"274 Kahikātea Dr, Hamilton",1300,1798816.3869,5813430.0919
3720,14007535,Tamahere/Matangi,"Newell Rd, Tamahere (near Riverfields Ln) (hail2ride)",1301,1805388.0647,5811491.4747
19537,14007536,Meteor,"63 Masters Ave, Hamilton",1302,1804304.7621,5814384.1492
19537,14007551,Meteor,"131 Dinsdale Rd, Hamilton",1303,1797149.6964,5814816.9234
4638,14007551,Dinsdale,"131 Dinsdale Rd, Hamilton",1304,1797149.6964,5814816.9234
4612,14007555,Claudelands,"113 Crosby Rd, Hamilton",1305,1801938.5221,5819231.5364
12858,14007561,Comet,"41 Pembroke St, Hamilton",1306,1800824.9047,5814316.4672
19537,14007566,Meteor,"Opp 248 Rotokauri Rd, Hamilton",1307,1795978.0133,5817952.2391
4604,14007568,Hillcrest,"74 Naylor St, Hamilton",1308,1802756.7124,5814090.0533
4616,14007578,Rototuna,"5 Cate Rd, Hamilton",1309,1799838.1856,5821422.3745
4648,14007588,Chartwell,"921 River Rd, Hamilton",1310,1799682.5387,5819471.2758
9022,14007588,Flagstaff,"921 River Rd, Hamilton",1311,1799682.5387,5819471.2758
9032,14007598,Rototuna Circular,"9 Barrington Dr, Hamilton",1312,1801408.9439,5821579.3181
4656,14007606,Nawton,"4 Waimarie St, Hamilton",1313,1797751.8,5815850.3852
4638,14007609,Dinsdale,"227 Baverstock Rd, Hamilton",1314,1795608.2081,5816708.1642
19537,14007618,Meteor,"122 Masters Ave, Hamilton",1315,1804726.728,5814495.9702
