WKT,SA22019_V1_00,SA22019_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,LATITUDE,LONGITUDE,EASTING,NORTHING,Shape_X,Shape_Y
"POINT (1772394.28135 5578211.9199)",224400,Springvale West,0.68873217,0.68873217,-39.92866347559657,175.01744926000097,1772394.281340886,5578211.9199,1772394.28135,5578211.9199
"POINT (1772902.09885 5578536.8061)",224500,Springvale East,0.63070441,0.63070441,-39.92563457420637,175.02330236542375,1772902.0988499997,5578536.806092614,1772902.09885,5578536.8061
"POINT (1776886.5931 5581687.7549)",224600,Upper Aramoho,1.56200848,1.56200848,-39.896440448310855,175.0690464665802,1776886.5930843295,5581687.754899999,1776886.5931,5581687.7549
"POINT (1771548.988 5576079.17215)",224700,Balgownie,2.8144496,2.8144496,-39.94803915516881,175.0081243990249,1771548.988015667,5576079.17215,1771548.988,5576079.17215
"POINT (1774779.4318 5579029.33775)",224800,Laird Park,1.1135117,1.1135117,-39.9208143877044,175.04512580868862,1774779.4318000004,5579029.337741265,1774779.4318,5579029.33775
"POINT (1776526.9673 5580507.375)",224900,Wembley Park,1.53594683,1.53594683,-39.90714365441159,175.06516167008905,1776526.9673163258,5580507.375,1776526.9673,5580507.375
"POINT (1773801.66805 5577948.23885)",225000,College Estate,1.35036959,1.35036959,-39.93075003613157,175.03397979782386,1773801.6680499997,5577948.238854828,1773801.66805,5577948.23885
"POINT (1776225.4809 5579758.13535)",225100,Whanganui East-Williams Domain,1.37721183,1.37721183,-39.913952626058084,175.06183911995697,1776225.480922307,5579758.13535,1776225.4809,5579758.13535
"POINT (1772498.7566 5576563.2957)",225200,Gonville West,0.73840657,0.73840657,-39.94348690185707,175.01910753901447,1772498.7566119914,5576563.295700001,1772498.7566,5576563.2957
"POINT (1773195.03385 5577099.3886)",225300,Gonville North,1.34068065,1.34068065,-39.93851759748969,175.0271101981108,1773195.03387187,5577099.3886,1773195.03385,5577099.3886
"POINT (1775232.5811 5578457.46805)",225400,Cornmarket,0.62888431,0.62888431,-39.92586995966152,175.0505786600546,1775232.5811,5578457.468050046,1775232.5811,5578457.46805
"POINT (1775985.94965 5578618.06855)",225500,Whanganui East-Riverlands,1.49508465,1.49508465,-39.924267685488495,175.059345907656,1775985.9496536455,5578618.06855,1775985.94965,5578618.06855
"POINT (1784847.30245 5575670.30435)",225600,Kaitoke-Fordell,261.31137619,261.31137619,-39.94892024328166,175.16380740936773,1784847.3024591808,5575670.30435,1784847.30245,5575670.30435
"POINT (1774908.05615 5577267.3214)",225700,Whanganui Central,2.43775687,2.43775687,-39.93665330063233,175.04710268062468,1774908.0561499996,5577267.321402569,1774908.05615,5577267.3214
"POINT (1773718.25205 5576095.91675)",225800,Gonville South,1.53981125,1.53981125,-39.947445854724606,175.03349799520956,1773718.2520714034,5576095.91675,1773718.25205,5576095.91675
"POINT (1776445.32395 5577648.8916)",225900,Bastia-Durie Hill,2.57038602,2.57038602,-39.932898627561514,175.06498040645542,1776445.3239500008,5577648.891598461,1776445.32395,5577648.8916
"POINT (1774797.8906 5575678.19185)",226000,Putiki,3.35323267,3.35323267,-39.9509847881275,175.04624048253874,1774797.8906214903,5575678.191849999,1774797.8906,5575678.19185
"POINT (1842935.6011 5605759.9626)",226100,Mokai Patea,2475.07259964,2475.07259964,-39.663465310820165,175.83195187999695,1842935.6010999992,5605759.962619034,1842935.6011,5605759.9626
"POINT (1874677.4058 5637145.34385)",226200,Ngamatea,611.55273062,611.55273062,-39.371499841210486,176.18851445616718,1874677.4057999994,5637145.343857415,1874677.4058,5637145.34385
"POINT (1789223.11625 5567691.71475)",226300,Turakina,276.63273659,276.63273659,-40.01978495987922,175.21731665147388,1789223.1162262503,5567691.714749999,1789223.11625,5567691.71475
"POINT (1813977.1004 5581019.4618)",226400,Otairi,636.74210386,636.74210386,-39.89390770166979,175.50275763870806,1813977.100423109,5581019.4618,1813977.1004,5581019.4618
"POINT (1839786.5358 5604237.03295)",226500,Taihape,4.9344456,4.9344456,-39.67806002406069,175.79583673973065,1839786.5358150182,5604237.032950001,1839786.5358,5604237.03295
"POINT (1796724.18995 5561971.8756)",226600,Marton Rural,192.55973377,192.55973377,-40.06956266917008,175.30688415721903,1796724.1899628062,5561971.8756,1796724.18995,5561971.8756
"POINT (1801860.5595 5562534.93675)",226700,Marton North,8.73647193,8.73647193,-40.063279297959724,175.3668922917234,1801860.5594762592,5562534.93675,1801860.5595,5562534.93675
"POINT (1796787.99725 5549444.56055)",226800,Parewanui,265.96041807,265.96041807,-40.18232205767864,175.31145032772557,1796787.9972500005,5549444.56054071,1796787.99725,5549444.56055
"POINT (1803556.0979 5560143.72765)",226900,Marton South,4.8563551,4.8563551,-40.084396846261,175.38750886321577,1803556.0979082016,5560143.72765,1803556.0979,5560143.72765
"POINT (1802958.1959 5549595.86005)",227000,Bulls,6.69569293,6.69569293,-40.179490856235674,175.38381869173776,1802958.1958899107,5549595.86005,1802958.1959,5549595.86005
"POINT (1841359.1965 5579999.6724)",227100,Kiwitea,784.651829,784.651829,-39.89573436683647,175.82306029164204,1841359.1965,5579999.672379728,1841359.1965,5579999.6724
"POINT (1817791.6849 5558243.77135)",227200,Tokorangi,271.2351752,271.2351752,-40.097937356565424,175.55496613823203,1817791.6848999988,5558243.771347927,1817791.6849,5558243.77135
"POINT (1802688.6262 5545396.77645)",227300,Ohakea-Sanson,82.74212575,82.74212575,-40.21735485879112,175.38197816722086,1802688.6261739433,5545396.77645,1802688.6262,5545396.77645
"POINT (1795278.2643 5531995.6566)",227400,Oroua Downs,125.29442201,125.29442201,-40.33975220208919,175.29904441356595,1795278.264299999,5531995.656620229,1795278.2643,5531995.6566
